Result Log
Number of Runs: Number of Evaluations per Run: 10000
Population Size: 20
Number of Parents: 5
Parent SelectionALg: Tournament Selection
kParents: 2
Probability of Mutation: 0.1
Probability of Recombination: 0.3
Result Log
Run #: 1
20	-430.5332198420641	-358.7195259617347
40	-392.28207614490793	-333.01355400496027
60	-412.587708622219	-333.01355400496027
80	-423.9841191727793	-334.01355400496027
100	-417.5381624194889	-338.01355400496027
120	-427.98313674134823	-331.7195259617347
140	-410.2647302455738	-331.01355400496027
160	-400.2280328981984	-331.01355400496027
180	-396.798176296606	-330.01355400496027
200	-400.26639231131566	-337.7195259617347
220	-398.54863009387583	-330.01355400496027
240	-393.1020311854387	-331.7195259617347
260	-408.0548286845122	-335.01355400496027
280	-393.37663414866165	-331.7195259617347
300	-396.09035311939186	-333.01355400496027
320	-417.1812841945417	-334.7195259617347
340	-406.0078894997907	-331.01355400496027
360	-403.11234906460606	-331.7195259617347
380	-408.0651840428436	-333.01355400496027
400	-397.1780328981984	-332.01355400496027
420	-401.33698950699306	-331.7195259617347
440	-399.7133314960371	-331.7195259617347
460	-401.19273430035963	-331.01355400496027
480	-396.6197559237145	-337.7195259617347
500	-400.04318809762947	-330.01355400496027
520	-410.92062603909	-331.7195259617347
540	-404.6010112748436	-337.01355400496027
560	-401.55645327108994	-332.01355400496027
580	-407.7647302455738	-330.01355400496027
600	-421.4611407961341	-331.01355400496027
620	-385.88305857633895	-331.01355400496027
640	-393.60603695298414	-331.7195259617347
660	-415.6822666259727	-333.01355400496027
680	-402.3893706879609	-334.01355400496027
700	-414.95830581789653	-334.7195259617347
720	-402.18774610138314	-334.01355400496027
740	-395.08207614490794	-333.01355400496027
760	-418.5812841945417	-345.01355400496027
780	-411.7298854450049	-337.7195259617347
800	-409.5922056661984	-331.7195259617347
820	-387.5691512477318	-333.01355400496027
840	-398.6574357025209	-333.01355400496027
860	-381.96552219594014	-330.01355400496027
880	-398.49417052906045	-331.01355400496027
900	-383.66453976450913	-332.01355400496027
920	-412.40384625308116	-331.01355400496027
940	-427.51253954567085	-330.01355400496027
960	-428.8879365824479	-375.9047140800335
980	-390.1237991704241	-337.7195259617347
